net_worth,full_name,age,gender,country_of_citizenship,country_of_residence,city_of_residence,industries,self_made,cpi_country,cpi_change_country,gdp_country,life_expectancy_country
13.9,Chen Bang,57,Male,China,China,Changsha,Healthcare,TRUE,125.08,2.9,19.91,77
13.9,Lui Che Woo,94,Male,Hong Kong,Hong Kong,Hong Kong,Gambling & Casinos,TRUE,NA,NA,NA,NA
13.7,John Fredriksen,78,Male,Cyprus,United Kingdom,London,Logistics,TRUE,119.62,1.7,2.827113185,81.3
13.7,Diane Hendricks,76,Female,United States,United States,Afton,Construction & Engineering,TRUE,117.24,7.5,21.4277,78.5
13.7,Jan Koum,47,Male,United States,United States,Atherton,Technology,TRUE,117.24,7.5,21.4277,78.5
13.3,Jerry Jones,80,Male,United States,United States,Dallas,Sports,TRUE,117.24,7.5,21.4277,78.5
13.3,George Kaiser,80,Male,United States,United States,Tulsa,Energy,FALSE,117.24,7.5,21.4277,78.5
13.3,Joseph Lau,71,Male,Hong Kong,Hong Kong,Hong Kong,Real Estate,TRUE,NA,NA,NA,NA
13.2,Lu Xiangyang,60,Male,China,China,Guangzhou,Automotive,TRUE,125.08,2.9,19.91,77
13.1,Harry Triguboff,90,Male,Australia,Australia,Sydney,Real Estate,TRUE,119.8,1.6,1.392680589,82.7
12.9,Uday Kotak,64,Male,India,India,Mumbai,Finance & Investments,TRUE,180.44,7.7,2.611,69.4
12.9,Stanley Kroenke,75,Male,United States,United States,Electra,Sports,TRUE,117.24,7.5,21.4277,78.5
12.6,Mikhail Fridman,58,Male,Russia,United Kingdom,London,Energy,TRUE,119.62,1.7,2.827113185,81.3
12.3,Sarath Ratanavadi,57,Male,Thailand,Thailand,Bangkok,Energy,TRUE,113.27,0.7,0.543649976,76.9
12.2,Dang Yanbao,50,Male,China,China,Yinchuan,Metals & Mining,TRUE,125.08,2.9,19.91,77
12.2,Jiang Rensheng & family,69,Male,China,China,Chongqing,Healthcare,TRUE,125.08,2.9,19.91,77
12.1,Shahid Khan,72,Male,United States,United States,Naples,Automotive,TRUE,117.24,7.5,21.4277,78.5
12,Laurene Powell Jobs & family,59,Female,United States,United States,Palo Alto,Technology,FALSE,117.24,7.5,21.4277,78.5
11.8,Robert Kuok,99,Male,Malaysia,Hong Kong,Hong Kong,Diversified,TRUE,NA,NA,NA,NA
11.6,Stephen Ross,82,Male,United States,United States,New York,Real Estate,TRUE,117.24,7.5,21.4277,78.5
11.5,Pavel Durov,38,Male,United Arab Emirates,United Arab Emirates,Dubai,Technology,TRUE,114.52,-1.9,0.421142268,77.8
11.5,Andreas Struengmann & family,73,Male,Germany,Germany,Tegernsee,Healthcare,TRUE,112.85,1.4,3.845630031,80.9
11.5,Thomas Struengmann & family,73,Male,Germany,Germany,Tegernsee,Healthcare,TRUE,112.85,1.4,3.845630031,80.9
11.4,Liu Hanyuan,59,Male,China,China,Chengdu,Food & Beverage,TRUE,125.08,2.9,19.91,77
11.4,Michael Rubin,50,Male,United States,United States,Bryn Mawr,Fashion & Retail,TRUE,117.24,7.5,21.4277,78.5
11.3,Israel Englander,74,Male,United States,United States,New York,Finance & Investments,TRUE,117.24,7.5,21.4277,78.5
11.3,Viatcheslav Kantor,69,Male,Russia,Israel,Herzliya,Manufacturing,TRUE,108.15,0.8,0.395098666,82.8
11.3,Anthony Pratt,62,Male,Australia,Australia,Melbourne,Manufacturing,FALSE,119.8,1.6,1.392680589,82.7
11.3,Mikhail Prokhorov,57,Male,Russia,Switzerland,Frauenfeld,Finance & Investments,TRUE,99.55,0.4,0.703082435,83.6
11.1,Giorgio Armani,88,Male,Italy,Italy,Milan,Fashion & Retail,TRUE,110.62,0.6,2.001244392,82.9
11.1,Johann Rupert & family,72,Male,South Africa,South Africa,Cape Town,Fashion & Retail,FALSE,158.93,4.1,0.351431649,63.9
11,Gong Hongjia & family,58,Male,Hong Kong,Hong Kong,Hong Kong,Finance & Investments,TRUE,NA,NA,NA,NA
11,Zhang Zhidong,51,Male,China,China,Shenzhen,Technology,TRUE,125.08,2.9,19.91,77
10.9,Philip Anschutz,83,Male,United States,United States,Denver,Finance & Investments,FALSE,117.24,7.5,21.4277,78.5
10.9,Judy Love & family,85,Female,United States,United States,Oklahoma City,Fashion & Retail,TRUE,117.24,7.5,21.4277,78.5
10.9,Ricardo Salinas Pliego & family,67,Male,Mexico,Mexico,Mexico City,Fashion & Retail,FALSE,141.54,3.6,1.258286717,75
10.7,Donald Newhouse,93,Male,United States,United States,New York,Media & Entertainment,FALSE,117.24,7.5,21.4277,78.5
10.6,Robert Kraft,81,Male,United States,United States,Brookline,Sports,TRUE,117.24,7.5,21.4277,78.5
10.6,Marcel Herrmann Telles,73,Male,Brazil,Brazil,Sao Paulo,Food & Beverage,TRUE,167.4,3.7,1.839758041,75.7
10.5,Suleiman Kerimov & family,57,Male,Russia,Russia,Moscow,Finance & Investments,TRUE,180.75,4.5,1.699876579,72.7
10.5,Sky Xu,39,Male,China,China,Guangzhou,Fashion & Retail,TRUE,125.08,2.9,19.91,77
10.5,Changpeng Zhao,45,Male,Canada,United Arab Emirates,Dubai,Finance & Investments,TRUE,114.52,-1.9,0.421142268,77.8
10.3,Andrew Beal,70,Male,United States,United States,Dallas,Finance & Investments,TRUE,117.24,7.5,21.4277,78.5
10.2,Mike Cannon-Brookes,43,Male,Australia,Australia,Sydney,Technology,TRUE,119.8,1.6,1.392680589,82.7
10.2,Carl Cook,60,Male,United States,United States,Bloomington,Healthcare,FALSE,117.24,7.5,21.4277,78.5
10.2,David Duffield,82,Male,United States,United States,Incline Village,Technology,TRUE,117.24,7.5,21.4277,78.5
10.2,Jeffery Hildebrand,64,Male,United States,United States,Houston,Energy,TRUE,117.24,7.5,21.4277,78.5
10.2,Viktor Rashnikov,74,Male,Russia,Russia,Magnitogorsk,Manufacturing,TRUE,180.75,4.5,1.699876579,72.7
10.2,Eduardo Saverin,41,Male,Brazil,Singapore,Singapore,Technology,TRUE,114.41,0.6,0.372062527,83.1
10.2,Georg Schaeffler,58,Male,Germany,Germany,Herzogenaurach,Automotive,FALSE,112.85,1.4,3.845630031,80.9
10.2,Christy Walton,74,Female,United States,United States,Jackson,Fashion & Retail,FALSE,117.24,7.5,21.4277,78.5
10.1,Scott Farquhar,43,Male,Australia,Australia,Sydney,Technology,TRUE,119.8,1.6,1.392680589,82.7
10.1,Quek Leng Chan,81,Male,Malaysia,Malaysia,Kuala Lumpur,Diversified,FALSE,121.46,0.7,0.364701518,76
10.1,Wu Yajun,59,Female,China,China,Beijing,Real Estate,TRUE,125.08,2.9,19.91,77
10,Autry Stephens,85,Male,United States,United States,Midland,Energy,TRUE,117.24,7.5,21.4277,78.5
9.9,Liu Yongxing,74,Male,China,China,Shanghai,Service,TRUE,125.08,2.9,19.91,77
9.8,Vinod Adani,74,Male,Cyprus,United Arab Emirates,Dubai,Diversified,TRUE,114.52,-1.9,0.421142268,77.8
9.8,Nicolas Puech,80,Male,France,Switzerland,Martigny,Fashion & Retail,FALSE,99.55,0.4,0.703082435,83.6
9.8,"Jacques Saadé, Jr.",51,Male,France,France,Marseille,Logistics,FALSE,110.05,1.1,2.715518274,82.5
9.8,Rodolphe Saadé,53,Male,France,France,Marseille,Logistics,FALSE,110.05,1.1,2.715518274,82.5
9.8,Tanya Saadé Zeenny,55,Female,France,France,Marseille,Logistics,FALSE,110.05,1.1,2.715518274,82.5
9.8,Melker Schorling & family,75,Male,Sweden,Sweden,Stockholm,Finance & Investments,TRUE,110.51,1.8,0.530832909,82.5
9.7,Andrei Guriev & family,63,Male,Russia,Russia,Moscow,Manufacturing,TRUE,180.75,4.5,1.699876579,72.7
9.7,Michael Kim,59,Male,United States,South Korea,Seoul,Finance & Investments,TRUE,115.16,0.4,2.029,82.6
9.7,Lei Jun,53,Male,China,China,Beijing,Technology,TRUE,125.08,2.9,19.91,77
9.7,Friedhelm Loh,76,Male,Germany,Germany,Haiger,Manufacturing,FALSE,112.85,1.4,3.845630031,80.9
9.7,Sun Piaoyang,64,Male,China,China,Lianyungang,Healthcare,TRUE,125.08,2.9,19.91,77
9.6,Rick Cohen & family,70,Male,United States,United States,Keene,Technology,FALSE,117.24,7.5,21.4277,78.5
9.6,Jin Baofang,70,Male,China,China,Xingtai,Energy,TRUE,125.08,2.9,19.91,77
9.6,Luo Liguo & family,67,Male,China,China,Ningbo,Manufacturing,TRUE,125.08,2.9,19.91,77
